CMDLINE /home/pietro/anaconda3/envs/simplicity/bin/python scripts/experiments/explore_popsize_impact_on_u.py serial 2
MEM 0.125000 1740157303.9669
MEM 50.894531 1740157304.2390
MEM 86.769531 1740157304.3422
MEM 104.394531 1740157304.4437
MEM 117.707031 1740157304.5449
MEM 127.582031 1740157304.6524
MEM 133.457031 1740157304.7546
MEM 138.207031 1740157304.8697
MEM 149.707031 1740157304.9703
MEM 166.082031 1740157305.0710
MEM 177.457031 1740157305.1716
MEM 180.457031 1740157305.2724
MEM 183.832031 1740157305.3746
MEM 188.957031 1740157305.4752
MEM 206.582031 1740157305.5894
MEM 279.859375 1740157306.1889
MEM 291.484375 1740157306.3165
MEM 291.773438 1740157306.4186
MEM 291.781250 1740157306.5277
MEM 291.804688 1740157306.6333
MEM 295.925781 1740157306.8746
MEM 295.929688 1740157306.9752
MEM 296.136719 1740157307.2021
MEM 296.136719 1740157307.3119
MEM 296.136719 1740157307.4188
MEM 296.261719 1740157307.5262
MEM 296.339844 1740157307.6448
MEM 296.582031 1740157308.1395
MEM 296.585938 1740157308.2483
MEM 296.589844 1740157308.3520
MEM 296.839844 1740157308.4573
MEM 296.976562 1740157308.5817
MEM 296.980469 1740157308.7162
MEM 297.210938 1740157308.9240
MEM 297.406250 1740157309.2390
MEM 297.535156 1740157309.4182
MEM 297.800781 1740157309.8261
MEM 297.828125 1740157309.9309
MEM 298.035156 1740157310.2213
MEM 298.039062 1740157310.3265
MEM 298.164062 1740157310.4337
MEM 298.164062 1740157310.5361
MEM 298.312500 1740157310.8695
MEM 298.476562 1740157311.2701
MEM 298.476562 1740157311.3770
MEM 298.476562 1740157311.4810
MEM 298.636719 1740157311.7465
MEM 298.636719 1740157311.8542
MEM 298.796875 1740157312.1310
MEM 298.796875 1740157312.2322
MEM 298.921875 1740157312.4121
MEM 298.921875 1740157312.5154
MEM 298.921875 1740157312.6212
MEM 298.921875 1740157313.4123
MEM 299.019531 1740157313.9774
MEM 299.023438 1740157314.4162
MEM 299.148438 1740157315.4075
MEM 299.148438 1740157315.5155
MEM 299.148438 1740157315.6218
MEM 299.218750 1740157316.3926
MEM 299.343750 1740157317.4113
MEM 299.343750 1740157318.4146
MEM 299.410156 1740157318.5189
MEM 299.414062 1740157318.6242
MEM 299.414062 1740157318.7294
MEM 299.550781 1740157319.2408
MEM 299.550781 1740157319.4149
MEM 299.550781 1740157319.5185
MEM 299.550781 1740157320.4054
MEM 299.550781 1740157320.5150
MEM 299.550781 1740157320.6202
MEM 299.550781 1740157320.7250
MEM 299.675781 1740157321.4023
MEM 299.675781 1740157321.5118
MEM 299.675781 1740157321.6164
MEM 299.675781 1740157321.7203
MEM 299.761719 1740157322.1172
MEM 299.761719 1740157322.4040
MEM 299.929688 1740157322.6619
MEM 300.054688 1740157323.4099
MEM 300.054688 1740157323.5168
MEM 300.101562 1740157323.6225
MEM 300.101562 1740157323.7290
MEM 300.101562 1740157323.8340
MEM 300.371094 1740157324.1718
MEM 300.257812 1740157324.2749
MEM 300.257812 1740157324.3812
MEM 300.539062 1740157324.9073
MEM 300.542969 1740157325.0106
MEM 300.542969 1740157325.1128
MEM 300.667969 1740157325.2183
MEM 300.667969 1740157325.3218
MEM 300.792969 1740157325.4259
MEM 300.890625 1740157325.7870
MEM 301.015625 1740157326.4034
MEM 301.050781 1740157326.5116
MEM 301.218750 1740157326.8460
MEM 301.218750 1740157326.9560
MEM 301.378906 1740157327.2950
MEM 301.378906 1740157327.4065
MEM 301.542969 1740157327.9556
MEM 301.667969 1740157328.4038
MEM 301.710938 1740157328.9190
MEM 301.710938 1740157329.4054
MEM 301.835938 1740157330.4062
MEM 301.898438 1740157331.2684
MEM 301.898438 1740157331.3694
MEM 302.023438 1740157332.4024
MEM 302.074219 1740157332.5854
MEM 302.074219 1740157332.6909
MEM 302.199219 1740157333.4073
MEM 302.242188 1740157333.6004
MEM 302.242188 1740157333.7028
MEM 302.253906 1740157333.8135
MEM 302.480469 1740157334.0445
MEM 302.398438 1740157334.1706
MEM 302.410156 1740157334.2958
MEM 302.410156 1740157334.4074
MEM 302.796875 1740157335.0030
MEM 302.796875 1740157335.1380
MEM 302.796875 1740157335.2386
MEM 302.921875 1740157335.3436
MEM 302.988281 1740157335.4877
MEM 302.988281 1740157335.5961
MEM 303.113281 1740157336.4083
MEM 303.234375 1740157336.7936
MEM 303.234375 1740157336.8950
MEM 303.234375 1740157337.0006
MEM 303.359375 1740157337.4065
MEM 303.433594 1740157337.5266
MEM 303.667969 1740157338.0354
MEM 303.671875 1740157338.1542
MEM 303.796875 1740157338.4070
MEM 303.953125 1740157339.1964
MEM 303.953125 1740157339.4041
MEM 303.953125 1740157339.5047
MEM 303.953125 1740157339.6100
MEM 304.113281 1740157339.8473
MEM 304.113281 1740157340.4087
